value,occurrence_count,recipe_support,recipe_prevalence,occurrences_per_supporting_recipe,examples
hot sauce like tobasco sauce,2,2,4.17e-05,1.0,hot sauce like tobasco sauce | hot sauce like tobasco sauce
sauce of your choice i did 1 cup marinara and 1 cup alfredo,2,2,4.17e-05,1.0,sauce of your choice i did 1 cup marinara and 1 cup alfredo | sauce of your choice i did 1 cup marinara and 1 cup alfredo
plus 1 tablespoon canola oil,2,2,4.17e-05,1.0,plus 1 tablespoon canola oil | plus 1 tablespoon canola oil
links italian sausage,2,2,4.17e-05,1.0,links italian sausage | links italian sausage
med onion,2,2,4.17e-05,1.0,med onion | med onion
snipped thyme or 1 2 teaspoon thyme,2,2,4.17e-05,1.0,snipped thyme or 1 2 teaspoon thyme | snipped thyme or 1 2 teaspoon thyme
purchased pico de gallo or salsa,2,2,4.17e-05,1.0,purchased pico de gallo or salsa | purchased pico de gallo or salsa
dry ranch dressing mix,2,2,4.17e-05,1.0,dry ranch dressing mix | dry ranch dressing mix
quarts ice water,2,2,4.17e-05,1.0,quarts ice water | quarts ice water
skim milk powder,2,2,4.17e-05,1.0,skim milk powder | skim milk powder
irish cream liqueur,2,2,4.17e-05,1.0,irish cream liqueur | irish cream liqueur
rell bell pepper,2,2,4.17e-05,1.0,rell bell pepper | rell bell pepper
racks of lamb,2,2,4.17e-05,1.0,racks of lamb | racks of lamb
pack of lasagna sheets,2,2,4.17e-05,1.0,pack of lasagna sheets | pack of lasagna sheets
jar of classic red tomato sauce,2,2,4.17e-05,1.0,jar of classic red tomato sauce | jar of classic red tomato sauce
anchovy fillets and,2,2,4.17e-05,1.0,anchovy fillets and | anchovy fillets and
splash white wine,2,2,4.17e-05,1.0,splash white wine | splash white wine
thinly baby portobello mushroom caps,2,2,4.17e-05,1.0,thinly baby portobello mushroom caps | thinly baby portobello mushroom caps
fire roasted tomatoes with chilies,2,2,4.17e-05,1.0,fire roasted tomatoes with chilies | fire roasted tomatoes with chilies
tomato sauce recipe to follow or substitute with your favorite,2,2,4.17e-05,1.0,tomato sauce recipe to follow or substitute with your favorite | tomato sauce recipe to follow or substitute with your favorite
good white wine vinegar or lemon juice,2,2,4.17e-05,1.0,good white wine vinegar or lemon juice | good white wine vinegar or lemon juice
ounces shiitake mushrooms,2,2,4.17e-05,1.0,ounces shiitake mushrooms | ounces shiitake mushrooms
x 14 oz can red kidney beans,2,2,4.17e-05,1.0,x 14 oz can red kidney beans | x 14 oz can red kidney beans
teas chili powder,2,2,4.17e-05,1.0,teas chili powder | teas chili powder
chuka soba noodles,2,2,4.17e-05,1.0,chuka soba noodles | chuka soba noodles
jar sauerkraut,2,2,4.17e-05,1.0,jar sauerkraut | jar sauerkraut
spiral pasta,2,2,4.17e-05,1.0,spiral pasta | spiral pasta
squeeze of lime,2,2,4.17e-05,1.0,squeeze of lime | squeeze of lime
poppy seed salad dressing,2,2,4.17e-05,1.0,poppy seed salad dressing | poppy seed salad dressing
ounce tube polenta,2,2,4.17e-05,1.0,ounce tube polenta | ounce tube polenta
eggs plus 1 egg yolk,2,2,4.17e-05,1.0,eggs plus 1 egg yolk | eggs plus 1 egg yolk
long green chili,2,2,4.17e-05,1.0,long green chili | long green chili
extra large egg yolks,2,2,4.17e-05,1.0,extra large egg yolks | extra large egg yolks
ounce can enchilada sauce,2,2,4.17e-05,1.0,ounce can enchilada sauce | ounce can enchilada sauce
classico tomato and basil sauce,2,2,4.17e-05,1.0,classico tomato and basil sauce | classico tomato and basil sauce
zest of one orange,2,2,4.17e-05,1.0,zest of one orange | zest of one orange
ripe cherry tomatoes,2,2,4.17e-05,1.0,ripe cherry tomatoes | ripe cherry tomatoes
light muscovado sugar,2,2,4.17e-05,1.0,light muscovado sugar | light muscovado sugar
mixed tomatoes,2,2,4.17e-05,1.0,mixed tomatoes | mixed tomatoes
tomatoes in sauce,2,2,4.17e-05,1.0,tomatoes in sauce | tomatoes in sauce
garlic ginger paste,2,2,4.17e-05,1.0,garlic ginger paste | garlic ginger paste
peppermint candies,2,2,4.17e-05,1.0,peppermint candies | peppermint candies
cheesecake,2,2,4.17e-05,1.0,cheesecake | cheesecake
cream quark,2,2,4.17e-05,1.0,cream quark | cream quark
quart low sodium or chicken stock,2,2,4.17e-05,1.0,quart low sodium or chicken stock | quart low sodium or chicken stock
mixed parsley,2,2,4.17e-05,1.0,mixed parsley | mixed parsley
pink grapefruit juice,2,2,4.17e-05,1.0,pink grapefruit juice | pink grapefruit juice
russet or yukon gold potatoes,2,2,4.17e-05,1.0,russet or yukon gold potatoes | russet or yukon gold potatoes
plus 1 1 2 teaspoons cornstarch,2,2,4.17e-05,1.0,plus 1 1 2 teaspoons cornstarch | plus 1 1 2 teaspoons cornstarch
plus 1 teaspoon all purpose flour,2,2,4.17e-05,1.0,plus 1 teaspoon all purpose flour | plus 1 teaspoon all purpose flour
for salad,2,2,4.17e-05,1.0,for salad | for salad
big tomatoes,2,2,4.17e-05,1.0,big tomatoes | big tomatoes
vegetable soup,2,2,4.17e-05,1.0,vegetable soup | vegetable soup
ground ancho chile,2,2,4.17e-05,1.0,ground ancho chile | ground ancho chile
red pears,2,2,4.17e-05,1.0,red pears | red pears
other,2,2,4.17e-05,1.0,other | other
es hot sauce,2,2,4.17e-05,1.0,es hot sauce | es hot sauce
pound roasting chicken,2,2,4.17e-05,1.0,pound roasting chicken | pound roasting chicken
or canned low sodium chicken stock,2,2,4.17e-05,1.0,or canned low sodium chicken stock | or canned low sodium chicken stock
celery flakes,2,2,4.17e-05,1.0,celery flakes | celery flakes
1 teaspoon paprika,2,2,4.17e-05,1.0,1 teaspoon paprika | 1 teaspoon paprika
fat garlic cloves,2,2,4.17e-05,1.0,fat garlic cloves | fat garlic cloves
soft brown sugar,2,2,4.17e-05,1.0,soft brown sugar | soft brown sugar
single cream,2,2,4.17e-05,1.0,single cream | single cream
box oven ready lasagna noodles,2,2,4.17e-05,1.0,box oven ready lasagna noodles | box oven ready lasagna noodles
ground mexican oregano,2,2,4.17e-05,1.0,ground mexican oregano | ground mexican oregano
beef top sirloin steak,2,2,4.17e-05,1.0,beef top sirloin steak | beef top sirloin steak
heaping tablespoons tomato paste,2,2,4.17e-05,1.0,heaping tablespoons tomato paste | heaping tablespoons tomato paste
nut oil,2,2,4.17e-05,1.0,nut oil | nut oil
thin tomato slices,2,2,4.17e-05,1.0,thin tomato slices | thin tomato slices
thin red onion slices,2,2,4.17e-05,1.0,thin red onion slices | thin red onion slices
a squeeze of lemon juice,2,2,4.17e-05,1.0,a squeeze of lemon juice | a squeeze of lemon juice
scotch bonnet pepper,2,2,4.17e-05,1.0,scotch bonnet pepper | scotch bonnet pepper
original louisiana hot sauce,2,2,4.17e-05,1.0,original louisiana hot sauce | original louisiana hot sauce
reduced sodium canned chicken broth,2,2,4.17e-05,1.0,reduced sodium canned chicken broth | reduced sodium canned chicken broth
malted milk balls,2,2,4.17e-05,1.0,malted milk balls | malted milk balls
plus 1 teaspoon dark rum,2,2,4.17e-05,1.0,plus 1 teaspoon dark rum | plus 1 teaspoon dark rum
soya sauce,2,2,4.17e-05,1.0,soya sauce | soya sauce
chicken breast halves with skin,2,2,4.17e-05,1.0,chicken breast halves with skin | chicken breast halves with skin
coarse grain sea salt,2,2,4.17e-05,1.0,coarse grain sea salt | coarse grain sea salt
generous handful of curry leaves,2,2,4.17e-05,1.0,generous handful of curry leaves | generous handful of curry leaves
medium grain white rice,2,2,4.17e-05,1.0,medium grain white rice | medium grain white rice
lemon balm,2,2,4.17e-05,1.0,lemon balm | lemon balm
dutch processed unsweetened cocoa powder,2,2,4.17e-05,1.0,dutch processed unsweetened cocoa powder | dutch processed unsweetened cocoa powder
ribeye steaks,2,2,4.17e-05,1.0,ribeye steaks | ribeye steaks
mini semisweet chocolate chips,2,2,4.17e-05,1.0,mini semisweet chocolate chips | mini semisweet chocolate chips
and 1 2 cups all purpose flour,2,2,4.17e-05,1.0,and 1 2 cups all purpose flour | and 1 2 cups all purpose flour
plus 1 tablespoon butter or margarine,2,2,4.17e-05,1.0,plus 1 tablespoon butter or margarine | plus 1 tablespoon butter or margarine
wasabi mayonnaise,2,2,4.17e-05,1.0,wasabi mayonnaise | wasabi mayonnaise
fat free cheddar,2,2,4.17e-05,1.0,fat free cheddar | fat free cheddar
butter use,2,2,4.17e-05,1.0,butter use | butter use
ounce box couscous,2,2,4.17e-05,1.0,ounce box couscous | ounce box couscous
unbleached plain flour,2,2,4.17e-05,1.0,unbleached plain flour | unbleached plain flour
torn baby spinach,2,2,4.17e-05,1.0,torn baby spinach | torn baby spinach
ancho guajillo chile sauce,2,2,4.17e-05,1.0,ancho guajillo chile sauce | ancho guajillo chile sauce
clamato juice,2,2,4.17e-05,1.0,clamato juice | clamato juice
to 16 lb turkey,2,2,4.17e-05,1.0,to 16 lb turkey | to 16 lb turkey
chicken or beef stock,2,2,4.17e-05,1.0,chicken or beef stock | chicken or beef stock
garnish green onion curls,2,2,4.17e-05,1.0,garnish green onion curls | garnish green onion curls
shortcut turkey stock or water,2,2,4.17e-05,1.0,shortcut turkey stock or water | shortcut turkey stock or water
shortcut turkey stock,2,2,4.17e-05,1.0,shortcut turkey stock | shortcut turkey stock
lauki bottle gourd,2,2,4.17e-05,1.0,lauki bottle gourd | lauki bottle gourd
drippings,2,2,4.17e-05,1.0,drippings | drippings
inch stick of cinnamon,2,2,4.17e-05,1.0,inch stick of cinnamon | inch stick of cinnamon
mochi,2,2,4.17e-05,1.0,mochi | mochi
size white onion,2,2,4.17e-05,1.0,size white onion | size white onion
blueberry pie filling,2,2,4.17e-05,1.0,blueberry pie filling | blueberry pie filling
black or green olives,2,2,4.17e-05,1.0,black or green olives | black or green olives
tomatoes in rich puree,2,2,4.17e-05,1.0,tomatoes in rich puree | tomatoes in rich puree
ounce russet potato,2,2,4.17e-05,1.0,ounce russet potato | ounce russet potato
light margarine,2,2,4.17e-05,1.0,light margarine | light margarine
flake sea salt,2,2,4.17e-05,1.0,flake sea salt | flake sea salt
raw mango,2,2,4.17e-05,1.0,raw mango | raw mango
a few whole black peppercorns,2,2,4.17e-05,1.0,a few whole black peppercorns | a few whole black peppercorns
perdue perfect portions,2,2,4.17e-05,1.0,perdue perfect portions | perdue perfect portions
white beans such as great northern,2,2,4.17e-05,1.0,white beans such as great northern | white beans such as great northern
mccormick italian seasoning,2,2,4.17e-05,1.0,mccormick italian seasoning | mccormick italian seasoning
venison stew meat,2,2,4.17e-05,1.0,venison stew meat | venison stew meat
litre chicken stock,2,2,4.17e-05,1.0,litre chicken stock | litre chicken stock
beef tri tip,2,2,4.17e-05,1.0,beef tri tip | beef tri tip
ground toasted cumin seeds,2,2,4.17e-05,1.0,ground toasted cumin seeds | ground toasted cumin seeds
chanterelles,2,2,4.17e-05,1.0,chanterelles | chanterelles
low sodium canned black beans,2,2,4.17e-05,1.0,low sodium canned black beans | low sodium canned black beans
hickory smoked bacon,2,2,4.17e-05,1.0,hickory smoked bacon | hickory smoked bacon
garnishes orange wedges,2,2,4.17e-05,1.0,garnishes orange wedges | garnishes orange wedges
orange vinaigrette,2,2,4.17e-05,1.0,orange vinaigrette | orange vinaigrette
chicken broth or dry white wine,2,2,4.17e-05,1.0,chicken broth or dry white wine | chicken broth or dry white wine
sorghum,2,2,4.17e-05,1.0,sorghum | sorghum
saigon cinnamon,2,2,4.17e-05,1.0,saigon cinnamon | saigon cinnamon
thinly white cabbage,2,2,4.17e-05,1.0,thinly white cabbage | thinly white cabbage
steamed artichokes,2,2,4.17e-05,1.0,steamed artichokes | steamed artichokes
banana liqueur,2,2,4.17e-05,1.0,banana liqueur | banana liqueur
butter or extra virgin olive oil,2,2,4.17e-05,1.0,butter or extra virgin olive oil | butter or extra virgin olive oil
pitted and black olives,2,2,4.17e-05,1.0,pitted and black olives | pitted and black olives
spaghetti or other strand pasta,2,2,4.17e-05,1.0,spaghetti or other strand pasta | spaghetti or other strand pasta
cannellini,2,2,4.17e-05,1.0,cannellini | cannellini
pita breads,2,2,4.17e-05,1.0,pita breads | pita breads
stemmed mustard greens,2,2,4.17e-05,1.0,stemmed mustard greens | stemmed mustard greens
jarred salsa verde,2,2,4.17e-05,1.0,jarred salsa verde | jarred salsa verde
cacique crema mexicana,2,2,4.17e-05,1.0,cacique crema mexicana | cacique crema mexicana
beets without greens,2,2,4.17e-05,1.0,beets without greens | beets without greens
white rice wine,2,2,4.17e-05,1.0,white rice wine | white rice wine
bok choy stalks,2,2,4.17e-05,1.0,bok choy stalks | bok choy stalks
firmly bok choy leaves,2,2,4.17e-05,1.0,firmly bok choy leaves | firmly bok choy leaves
salt plus 1 teaspoon,2,2,4.17e-05,1.0,salt plus 1 teaspoon | salt plus 1 teaspoon
organic chickpeas,2,2,4.17e-05,1.0,organic chickpeas | organic chickpeas
tilapia filets,2,2,4.17e-05,1.0,tilapia filets | tilapia filets
bushs black beans,2,2,4.17e-05,1.0,bushs black beans | bushs black beans
no salt added chicken broth,2,2,4.17e-05,1.0,no salt added chicken broth | no salt added chicken broth
mccormick mustard,2,2,4.17e-05,1.0,mccormick mustard | mccormick mustard
porterhouse steaks,2,2,4.17e-05,1.0,porterhouse steaks | porterhouse steaks
non dairy margarine,2,2,4.17e-05,1.0,non dairy margarine | non dairy margarine
hoagi or roll,2,2,4.17e-05,1.0,hoagi or roll | hoagi or roll
non fat evaporated milk,2,2,4.17e-05,1.0,non fat evaporated milk | non fat evaporated milk
torn mint,2,2,4.17e-05,1.0,torn mint | torn mint
hot red pepper,2,2,4.17e-05,1.0,hot red pepper | hot red pepper
colored eggs,2,2,4.17e-05,1.0,colored eggs | colored eggs
handful of flat leaf parsley,2,2,4.17e-05,1.0,handful of flat leaf parsley | handful of flat leaf parsley
country loaf,2,2,4.17e-05,1.0,country loaf | country loaf
ounce can bamboo shoots,2,2,4.17e-05,1.0,ounce can bamboo shoots | ounce can bamboo shoots
cultured buttermilk,2,2,4.17e-05,1.0,cultured buttermilk | cultured buttermilk
handfuls baby spinach,2,2,4.17e-05,1.0,handfuls baby spinach | handfuls baby spinach
pork cubes,2,2,4.17e-05,1.0,pork cubes | pork cubes
toasted unsweetened coconut,2,2,4.17e-05,1.0,toasted unsweetened coconut | toasted unsweetened coconut
sichuan pepper,2,2,4.17e-05,1.0,sichuan pepper | sichuan pepper
knob of butter,2,2,4.17e-05,1.0,knob of butter | knob of butter
floury potatoes,2,2,4.17e-05,1.0,floury potatoes | floury potatoes
lemon sorbet,2,2,4.17e-05,1.0,lemon sorbet | lemon sorbet
or shiitake mushrooms,2,2,4.17e-05,1.0,or shiitake mushrooms | or shiitake mushrooms
or 1 teaspoon rosemary,2,2,4.17e-05,1.0,or 1 teaspoon rosemary | or 1 teaspoon rosemary
thinly vertically onion,2,2,4.17e-05,1.0,thinly vertically onion | thinly vertically onion
premium white chocolate,2,2,4.17e-05,1.0,premium white chocolate | premium white chocolate
asian chile paste,2,2,4.17e-05,1.0,asian chile paste | asian chile paste
1 tbsp sugar,2,2,4.17e-05,1.0,1 tbsp sugar | 1 tbsp sugar
red or green leaf lettuce,2,2,4.17e-05,1.0,red or green leaf lettuce | red or green leaf lettuce
chilled stick margarine,2,2,4.17e-05,1.0,chilled stick margarine | chilled stick margarine
whole grain hamburger buns,2,2,4.17e-05,1.0,whole grain hamburger buns | whole grain hamburger buns
fruit vinegar,2,2,4.17e-05,1.0,fruit vinegar | fruit vinegar
block extra firm tofu,2,2,4.17e-05,1.0,block extra firm tofu | block extra firm tofu
dry mint,2,2,4.17e-05,1.0,dry mint | dry mint
scorpion mexican spice,2,2,4.17e-05,1.0,scorpion mexican spice | scorpion mexican spice
goose,2,2,4.17e-05,1.0,goose | goose
kernels from one ear of corn,2,2,4.17e-05,1.0,kernels from one ear of corn | kernels from one ear of corn
tbs adobo sauce,2,2,4.17e-05,1.0,tbs adobo sauce | tbs adobo sauce
or good quality corn tortillas,2,2,4.17e-05,1.0,or good quality corn tortillas | or good quality corn tortillas
thin slices serrano ham or prosciutto,2,2,4.17e-05,1.0,thin slices serrano ham or prosciutto | thin slices serrano ham or prosciutto
cooking spray or oil mister,2,2,4.17e-05,1.0,cooking spray or oil mister | cooking spray or oil mister
toasted sourdough bread cubes,2,2,4.17e-05,1.0,toasted sourdough bread cubes | toasted sourdough bread cubes
plus 1 2 teaspoon salt,2,2,4.17e-05,1.0,plus 1 2 teaspoon salt | plus 1 2 teaspoon salt
dixie crystals extra fine granulated sugar,2,2,4.17e-05,1.0,dixie crystals extra fine granulated sugar | dixie crystals extra fine granulated sugar
superfine granulated sugar,2,2,4.17e-05,1.0,superfine granulated sugar | superfine granulated sugar
shelled pumpkin seeds,2,2,4.17e-05,1.0,shelled pumpkin seeds | shelled pumpkin seeds
pasilla pepper,2,2,4.17e-05,1.0,pasilla pepper | pasilla pepper
cans tomatoes,2,2,4.17e-05,1.0,cans tomatoes | cans tomatoes
hot vegetable stock,2,2,4.17e-05,1.0,hot vegetable stock | hot vegetable stock
fistful of coriander leaves,2,2,4.17e-05,1.0,fistful of coriander leaves | fistful of coriander leaves
strands of mace,2,2,4.17e-05,1.0,strands of mace | strands of mace
prego traditional italian sauce,2,2,4.17e-05,1.0,prego traditional italian sauce | prego traditional italian sauce
arborio risotto rice,2,2,4.17e-05,1.0,arborio risotto rice | arborio risotto rice
olive oil and butter combined in a pan,2,2,4.17e-05,1.0,olive oil and butter combined in a pan | olive oil and butter combined in a pan
c cabernet sauvignon,2,2,4.17e-05,1.0,c cabernet sauvignon | c cabernet sauvignon
onion cut into large wedges,2,2,4.17e-05,1.0,onion cut into large wedges | onion cut into large wedges
whole wheat bread slices,2,2,4.17e-05,1.0,whole wheat bread slices | whole wheat bread slices
plain non fat greek yogurt,2,2,4.17e-05,1.0,plain non fat greek yogurt | plain non fat greek yogurt
red rice,2,2,4.17e-05,1.0,red rice | red rice
peel of 1 lemon,2,2,4.17e-05,1.0,peel of 1 lemon | peel of 1 lemon
prechopped red bell pepper,2,2,4.17e-05,1.0,prechopped red bell pepper | prechopped red bell pepper
gluten free oat flour,2,2,4.17e-05,1.0,gluten free oat flour | gluten free oat flour
baby carrots with tops,2,2,4.17e-05,1.0,baby carrots with tops | baby carrots with tops
earl grey tea leaves,2,2,4.17e-05,1.0,earl grey tea leaves | earl grey tea leaves
chilli peppers,2,2,4.17e-05,1.0,chilli peppers | chilli peppers
large mushrooms,2,2,4.17e-05,1.0,large mushrooms | large mushrooms
garnish hazelnuts,2,2,4.17e-05,1.0,garnish hazelnuts | garnish hazelnuts
toothpicks,2,2,4.17e-05,1.0,toothpicks | toothpicks
tamarind pod,2,2,4.17e-05,1.0,tamarind pod | tamarind pod
whole red bell peppers,2,2,4.17e-05,1.0,whole red bell peppers | whole red bell peppers
ounce chicken breasts,2,2,4.17e-05,1.0,ounce chicken breasts | ounce chicken breasts
lemon olive oil,2,2,4.17e-05,1.0,lemon olive oil | lemon olive oil
pasilla negro chiles,2,2,4.17e-05,1.0,pasilla negro chiles | pasilla negro chiles
pound beef chuck roast,2,2,4.17e-05,1.0,pound beef chuck roast | pound beef chuck roast
vanilla bean ice cream,2,2,4.17e-05,1.0,vanilla bean ice cream | vanilla bean ice cream
biscuit mix,2,2,4.17e-05,1.0,biscuit mix | biscuit mix
thin rice stick noodles,2,2,4.17e-05,1.0,thin rice stick noodles | thin rice stick noodles
canned jalapeno slices,2,2,4.17e-05,1.0,canned jalapeno slices | canned jalapeno slices
alfredo style pasta sauce,2,2,4.17e-05,1.0,alfredo style pasta sauce | alfredo style pasta sauce
olive oil anchovy fillets,2,2,4.17e-05,1.0,olive oil anchovy fillets | olive oil anchovy fillets
tbs plus 1 2 tsp salt,2,2,4.17e-05,1.0,tbs plus 1 2 tsp salt | tbs plus 1 2 tsp salt
spinach linguine,2,2,4.17e-05,1.0,spinach linguine | spinach linguine
crunchy corn taco shells,2,2,4.17e-05,1.0,crunchy corn taco shells | crunchy corn taco shells
raw shrimps,2,2,4.17e-05,1.0,raw shrimps | raw shrimps
chinese mushrooms,2,2,4.17e-05,1.0,chinese mushrooms | chinese mushrooms
safflower or other neutral oil,2,2,4.17e-05,1.0,safflower or other neutral oil | safflower or other neutral oil
shelled soybeans,2,2,4.17e-05,1.0,shelled soybeans | shelled soybeans
about 8 ounces english cucumber,2,2,4.17e-05,1.0,about 8 ounces english cucumber | about 8 ounces english cucumber
dry rose wine,2,2,4.17e-05,1.0,dry rose wine | dry rose wine
hatch chiles,2,2,4.17e-05,1.0,hatch chiles | hatch chiles
small seashell pasta,2,2,4.17e-05,1.0,small seashell pasta | small seashell pasta
loaf crusty french baguette,2,2,4.17e-05,1.0,loaf crusty french baguette | loaf crusty french baguette
blanched french green beans,2,2,4.17e-05,1.0,blanched french green beans | blanched french green beans
jar or can artichoke hearts,2,2,4.17e-05,1.0,jar or can artichoke hearts | jar or can artichoke hearts
cider vingar,2,2,4.17e-05,1.0,cider vingar | cider vingar
chicken chunks,2,2,4.17e-05,1.0,chicken chunks | chicken chunks
rind from 1 lime,2,2,4.17e-05,1.0,rind from 1 lime | rind from 1 lime
lightly baby arugula,2,2,4.17e-05,1.0,lightly baby arugula | lightly baby arugula
round sheets rice paper,2,2,4.17e-05,1.0,round sheets rice paper | round sheets rice paper
salt little,2,2,4.17e-05,1.0,salt little | salt little
shelled pinon or pine nuts,2,2,4.17e-05,1.0,shelled pinon or pine nuts | shelled pinon or pine nuts
cumin whole seeds,2,2,4.17e-05,1.0,cumin whole seeds | cumin whole seeds
tomatoes whole stewed,2,2,4.17e-05,1.0,tomatoes whole stewed | tomatoes whole stewed
size green tomatoes,2,2,4.17e-05,1.0,size green tomatoes | size green tomatoes
better than bouillon chicken base,2,2,4.17e-05,1.0,better than bouillon chicken base | better than bouillon chicken base
stemmed shiitake mushrooms,2,2,4.17e-05,1.0,stemmed shiitake mushrooms | stemmed shiitake mushrooms
sour cream or creme fraiche,2,2,4.17e-05,1.0,sour cream or creme fraiche | sour cream or creme fraiche
ground coriander,2,2,4.17e-05,1.0,ground coriander | ground coriander
dressed whole rainbow trout,2,2,4.17e-05,1.0,dressed whole rainbow trout | dressed whole rainbow trout
black mustard seed,2,2,4.17e-05,1.0,black mustard seed | black mustard seed
plus 2 tablespoons mayonnaise,2,2,4.17e-05,1.0,plus 2 tablespoons mayonnaise | plus 2 tablespoons mayonnaise
orange bell peppers,2,2,4.17e-05,1.0,orange bell peppers | orange bell peppers
instant espresso or 2 tablespoons instant coffee granules,2,2,4.17e-05,1.0,instant espresso or 2 tablespoons instant coffee granules | instant espresso or 2 tablespoons instant coffee granules
tbsps tamarind paste,2,2,4.17e-05,1.0,tbsps tamarind paste | tbsps tamarind paste
raw tiger prawn,2,2,4.17e-05,1.0,raw tiger prawn | raw tiger prawn
pete and gerry s organic eggs,2,2,4.17e-05,1.0,pete and gerry s organic eggs | pete and gerry s organic eggs
romano beans,2,2,4.17e-05,1.0,romano beans | romano beans
tbs tomato sauce,2,2,4.17e-05,1.0,tbs tomato sauce | tbs tomato sauce
chicken breasts with skin and bones,2,2,4.17e-05,1.0,chicken breasts with skin and bones | chicken breasts with skin and bones
can tomatoes with juice,2,2,4.17e-05,1.0,can tomatoes with juice | can tomatoes with juice
dr pepper,2,2,4.17e-05,1.0,dr pepper | dr pepper
thickeners,2,2,4.17e-05,1.0,thickeners | thickeners
box pasta,2,2,4.17e-05,1.0,box pasta | box pasta
coarse stone ground white grits,2,2,4.17e-05,1.0,coarse stone ground white grits | coarse stone ground white grits
chicken skins,2,2,4.17e-05,1.0,chicken skins | chicken skins
ounce can green chile peppers,2,2,4.17e-05,1.0,ounce can green chile peppers | ounce can green chile peppers
romanesco broccoli,2,2,4.17e-05,1.0,romanesco broccoli | romanesco broccoli
haricot beans,2,2,4.17e-05,1.0,haricot beans | haricot beans
bottle fat free tomato basil pasta sauce,2,2,4.17e-05,1.0,bottle fat free tomato basil pasta sauce | bottle fat free tomato basil pasta sauce
cold cut,2,2,4.17e-05,1.0,cold cut | cold cut
limes juiced,2,2,4.17e-05,1.0,limes juiced | limes juiced
cinnamon hot candy,2,2,4.17e-05,1.0,cinnamon hot candy | cinnamon hot candy
juice of 12 lime,2,2,4.17e-05,1.0,juice of 12 lime | juice of 12 lime
corn tortilla flour,2,2,4.17e-05,1.0,corn tortilla flour | corn tortilla flour
haddock,2,2,4.17e-05,1.0,haddock | haddock
cilantro or scallions,2,2,4.17e-05,1.0,cilantro or scallions | cilantro or scallions
bush s black beans,2,2,4.17e-05,1.0,bush s black beans | bush s black beans
pot stickers,2,2,4.17e-05,1.0,pot stickers | pot stickers
avocado leaves,2,2,4.17e-05,1.0,avocado leaves | avocado leaves
tbls chili powder,2,2,4.17e-05,1.0,tbls chili powder | tbls chili powder
mexican chorizo sausage,2,2,4.17e-05,1.0,mexican chorizo sausage | mexican chorizo sausage
freshly canned chiptoles in adobo sauce,2,2,4.17e-05,1.0,freshly canned chiptoles in adobo sauce | freshly canned chiptoles in adobo sauce
flat cut brisket,2,2,4.17e-05,1.0,flat cut brisket | flat cut brisket
quarts baby spinach leaves,2,2,4.17e-05,1.0,quarts baby spinach leaves | quarts baby spinach leaves
bacon grease or vegetable oil,2,2,4.17e-05,1.0,bacon grease or vegetable oil | bacon grease or vegetable oil
white potatoes,2,2,4.17e-05,1.0,white potatoes | white potatoes
barbecue smoked seasoning,2,2,4.17e-05,1.0,barbecue smoked seasoning | barbecue smoked seasoning
peanut butter cups,2,2,4.17e-05,1.0,peanut butter cups | peanut butter cups
canola oil or butter,2,2,4.17e-05,1.0,canola oil or butter | canola oil or butter
unsweetened dutch processed cocoa powder,2,2,4.17e-05,1.0,unsweetened dutch processed cocoa powder | unsweetened dutch processed cocoa powder
or 2 small chipotle chiles in adobo,2,2,4.17e-05,1.0,or 2 small chipotle chiles in adobo | or 2 small chipotle chiles in adobo
orange or yellow bell pepper,2,2,4.17e-05,1.0,orange or yellow bell pepper | orange or yellow bell pepper
green cardamoms chotti elachi,2,2,4.17e-05,1.0,green cardamoms chotti elachi | green cardamoms chotti elachi
juice of 3 limes,2,2,4.17e-05,1.0,juice of 3 limes | juice of 3 limes
to 6 inch corn tortillas,2,2,4.17e-05,1.0,to 6 inch corn tortillas | to 6 inch corn tortillas
whiting,2,2,4.17e-05,1.0,whiting | whiting
whole or milk,2,2,4.17e-05,1.0,whole or milk | whole or milk
thinly tart apples,2,2,4.17e-05,1.0,thinly tart apples | thinly tart apples
chinese roast pork,2,2,4.17e-05,1.0,chinese roast pork | chinese roast pork
chicken breasts or tenders,2,2,4.17e-05,1.0,chicken breasts or tenders | chicken breasts or tenders
large leeks,2,2,4.17e-05,1.0,large leeks | large leeks
dill or tarragon,2,2,4.17e-05,1.0,dill or tarragon | dill or tarragon
whole kernel sweet corn,2,2,4.17e-05,1.0,whole kernel sweet corn | whole kernel sweet corn
yellow squash or zucchini,2,2,4.17e-05,1.0,yellow squash or zucchini | yellow squash or zucchini
assorted summer squash,2,2,4.17e-05,1.0,assorted summer squash | assorted summer squash
assorted bell peppers,2,2,4.17e-05,1.0,assorted bell peppers | assorted bell peppers
pint baskets blueberries,2,2,4.17e-05,1.0,pint baskets blueberries | pint baskets blueberries
additional limes,2,2,4.17e-05,1.0,additional limes | additional limes
t ground turmeric,2,2,4.17e-05,1.0,t ground turmeric | t ground turmeric
oz bag peas,2,2,4.17e-05,1.0,oz bag peas | oz bag peas
bread crumbs or ground oats,2,2,4.17e-05,1.0,bread crumbs or ground oats | bread crumbs or ground oats
organic canola mayonnaise,2,2,4.17e-05,1.0,organic canola mayonnaise | organic canola mayonnaise
a few grinds of black pepper,2,2,4.17e-05,1.0,a few grinds of black pepper | a few grinds of black pepper
calamansi juice,2,2,4.17e-05,1.0,calamansi juice | calamansi juice
